id,titre,description,annee_de_sortie,id_genre,realisateur,acteurs






7,Home,Home est un film documentaire exprimant ce qui lie l’homme a la terre et son impact.,2009,,Luc Besson,
8,Harry Potter et les reliques de la mort,"Le denouement des aventures du jeune sorcier, commencees sept editions plus tot, approche. Plus terrifiant et puissant que jamais, Voldemort, accompagne de ses fideles servants, les Mangemorts, controle quasiment l'ensemble du monde des sorciers",,Science-fiction,David Yates,
9,Inception,"Dom Cobb est un voleur expérimenté dans l'art périlleux de `l'extraction' : sa spécialité consiste à s'approprier les secrets les plus précieux d'un individu, enfouis au plus profond de son subconscient, pendant qu'il rêve et que son esprit est particulièrement vulnérable.",2010,Science-fiction,Christopher Nolan,
=====
